wgs_id	reference	country	blaTEM
AUNG1000	Williamson2019	Australia	0
AUNG1002	Williamson2019	Australia	0
AUNG1003	Williamson2019	Australia	0
AUNG1005	Williamson2019	Australia	0
AUNG1007	Williamson2019	Australia	1
AUNG100	Williamson2019	Australia	0
AUNG1010	Williamson2019	Australia	0
AUNG1011	Williamson2019	Australia	0
AUNG1012	Williamson2019	Australia	0
AUNG1013	Williamson2019	Australia	0
AUNG1015	Williamson2019	Australia	0
AUNG1016	Williamson2019	Australia	0
AUNG1019	Williamson2019	Australia	0
AUNG101	Williamson2019	Australia	1
AUNG1020	Williamson2019	Australia	0
AUNG1021	Williamson2019	Australia	0
AUNG1022	Williamson2019	Australia	0
AUNG1023	Williamson2019	Australia	0
AUNG1024	Williamson2019	Australia	0
AUNG1026	Williamson2019	Australia	0
AUNG1027	Williamson2019	Australia	0
AUNG1028	Williamson2019	Australia	0
AUNG1029	Williamson2019	Australia	0
AUNG102	Williamson2019	Australia	0
AUNG1031	Williamson2019	Australia	0
AUNG1032	Williamson2019	Australia	0
AUNG1034	Williamson2019	Australia	0
AUNG1035	Williamson2019	Australia	0
AUNG1037	Williamson2019	Australia	0
AUNG1039	Williamson2019	Australia	0
AUNG103	Williamson2019	Australia	1
AUNG1040	Williamson2019	Australia	0
AUNG1041	Williamson2019	Australia	0
AUNG1043	Williamson2019	Australia	0
AUNG1044	Williamson2019	Australia	0
AUNG1046	Williamson2019	Australia	0
AUNG1047	Williamson2019	Australia	0
AUNG1048	Williamson2019	Australia	0
AUNG1049	Williamson2019	Australia	0
AUNG104	Williamson2019	Australia	0
AUNG1051	Williamson2019	Australia	0
AUNG1053	Williamson2019	Australia	0
AUNG1054	Williamson2019	Australia	0
AUNG1055	Williamson2019	Australia	0
AUNG1056	Williamson2019	Australia	0
AUNG1058	Williamson2019	Australia	0
AUNG1059	Williamson2019	Australia	0
AUNG105	Williamson2019	Australia	0
AUNG1062	Williamson2019	Australia	0
AUNG1063	Williamson2019	Australia	0
